company_id,marketcap,employees_count,price_usd,operating_margin_ttm,pe_ratio_ttm
230,893056640,1200,10.12,-4265.0,-10.6809
231,883816896,1035,22.8,-1097.0,-19.9474
232,875924288,790,24.26,479.0,28.7229
233,870913393,5810,28.42,1763.0,26.4406
234,868541248,875,17.11,1580.0,199.625
237,800085952,4039,25.85,2579.0,23.1436
238,789929280,2032,5.92,-2245.0,-6.24211
239,784974784,157,39.37,2281.0,76.2308
240,776376384,590,2.54,-8087.0,-3.19231
242,768365248,730,4.31,-4158.0,-10.2381
243,707063424,1200,5.68,-1578.0,-27.7746
244,705475520,1700,17.15,-6905.0,-2.44029
245,699454016,55,6.58,-10551.0,-10.0536
246,698908480,806,10.06,-2833.0,-19.5102
247,697165184,481,5.58,-23117.0,-4.19387
248,691965056,277,33.99,-13100.0,-12.8276
249,680029120,6522,5.08,1368.0,20.3332
250,678537728,701,3.34,-6205.0,-9.02778
251,674464704,2925,19.18,611.0,-12.2697
252,664648704,1637,19.92,-416.0,-51.606
253,624057280,777,6.16,588.0,-96.8333
254,566131776,357,3.23,-18857.0,-6.45098
255,543246848,764,13.33,635.0,11.5431
256,539400192,660,3.46,-3528.0,-5.37097
257,518540384,430,2.1,-34549.0,-4.05769
258,507063552,2149,5.88,-3193.0,-3.88961
259,495097472,700,2.86,-3927.0,-5.34545
260,494647168,435,10.85,542.0,53.4
261,488991424,581,25.53,4128.0,7.24638
262,462685504,677,45.0,-4233.0,-1.83447
264,445365229,1782,16.61,1875.0,21.8427
265,438568736,1921,3.59,-2754.0,-6.84
266,431733120,106,3.92,-102251.0,-6.56667
267,419541600,661,6.92,-5220.0,-5.464
268,418450272,769,0.8734,-10374.0,-1.17583
269,414335121,751,5.31,3085.0,50.9461
270,404856064,813,10.15,-773.0,-10.8132
271,399600416,1546,1.61,-32570.0,-1.15942
272,397295584,1652,5.65,-3108.0,-5.13084
273,391359008,1017,5.0,-4546.0,-6.45333
274,386890176,2439,6.55,481.0,146.13
275,384375392,16200,5.62,-2247.0,-1.47383
276,362175104,966,11.64,1592.0,29.45
277,355941698,3891,13.04,1345.0,17.3225
279,350151712,613,3.7,-2441.0,-13.1429
280,349294816,297,2.96,-33834.0,-1.84796
281,344087136,6800,1.59,-2875.0,-0.234472
282,342378784,406,10.15,1111.0,31.7188
283,333405056,967,9.24,-2879.0,-3.70417
284,314463944,381,5.71,1464.0,41.5836
285,312919808,640,7.54,-2999.0,-6.16667
286,312672352,213,24.58,-173.0,-184.231
287,295122336,380,14.77,1219.0,8.15676
288,294784000,393,7.84,-6075.0,-4.29545
289,284033408,1027,10.5,-1737.0,-2.72727
290,282133440,186,20.24,133.0,106.316
291,281367456,1860,3.15,199.0,23.5769
292,278905600,1232,3.45,-2712.0,-2.75
293,278073664,932,3.17,-6014.0,-2.12329
294,270297792,466,4.15,-16202.0,-3.40984
295,269499136,1001,2.64,-6461.0,-2.23729
296,260823776,500,1.89,-10702.0,-1.20989
297,259414704,1020,23.81,238.0,-3.71601
299,254530800,681,1.8,-3140.0,-4.16279
300,252322720,325,2.48,-3607.0,-24.2038
301,251566736,687,7.99,-131.0,119.093
302,249239466,1177,16.67,3583.0,16.253
303,240314232,451,21.85,1517.0,33.4333
304,234358746,986,4.39,288.0,-126.121
305,229891008,1500,1.0,-519362.0,-0.633136
306,228633344,863,2.98,855.0,-5.01695
307,228595504,19,2.25,-23184.0,1.16837
308,224647897,66,0.12,-131123.0,-10.4839
309,223817795,266,5.88,4541.0,10.0498
310,213758544,193,2.3,-181647.0,-1.94262
311,207636656,1800,2.1,-5505.0,-0.839844
312,205152464,138,2.45,-898.0,-7.05714
313,204132480,1076,4.07,-237.0,-32.1667
314,195711648,450,4.58,-1164.0,-25.3889
315,193342336,493,7.78,525.0,-17.6977
316,191603920,259,1.34,-10645.0,-2.16129
317,186005712,267,2.69,-42387.0,-1.92143
318,178257552,109,9.82,61.0,-11.9634
319,178119904,67,9.8,2290.0,39.2
320,175100784,32000,4.34,166.0,54.0
322,168795238,337,4.26,-1230.0,-26.2749
323,161830224,1037,1.77,-32495.0,-0.234519
325,153888976,10521,4.98,738.0,4.30556
326,151307520,2500,10.4,743.0,31.1515
327,150015968,1029,6.55,894.0,25.44
328,147844944,418,7.09,-10426.0,-1.89231
329,144717136,440,0.83,-33206.0,-0.455946
330,143135200,1006,4.56,-5977.0,-0.773038
331,143010768,770,2.71,1114.0,5.7053
332,129612334,1900,1.39,456.0,10.5736
334,118244152,297,1.34,1792.0,6.84211
336,98628368,1097,1.51,584.0,6.32231
338,93521968,320,7.76,-6035.0,-0.74954
340,90839923,5000,0.54,398.0,578.428
342,81515064,661,2.2,-2788.0,-1.76
345,74726400,721,0.6,-63051.0,-0.0949004
346,74424496,69,0.8426,-8954.0,-2.01525
347,74066184,434,1.77,-3989.0,-0.299679
350,63938194,495,0.11,-2070.0,-3.23629
351,61264764,559,0.781,-12985.0,-1.08342
352,60417756,315,0.84,-5276.0,-1.83227
353,52374020,135,5.3,-89096.0,-0.372528
354,50115356,730,1.31,-905.0,-0.956522
356,42850924,1391,0.4591,-231.0,-1.01702
358,40575032,244,0.5887,-2080.0,-0.469807
359,36601037,630,4.81,1126.0,9.42232
360,36092273,217,7.16,1896.0,11.6544
361,34257112,53,1.77,-2334.0,-9.83333
364,22387514,200,1.34,-8517.0,-1.71053
365,22107162,27,1.54,-317172.0,-0.10144
366,22087764,15000,3.47,-2288.0,-0.00327782
368,19206762,443,0.1066,-7106.0,-0.199091
369,18835738,226,0.37,-3015.0,-0.157025
371,18493062,112,0.314,-4543.0,-1.55
372,16011771,303,2.05,-10971.0,-0.379061
376,14098001,2573,0.5504,-3639.0,-0.0238993
377,13640634,59,1.26,-394109.0,-0.671935
378,12665925,14,3.9608,-10122.0,-2.15084
379,12332875,106,0.0914,-23350.0,-0.323929
380,12129152,644,0.32,-1016.0,-0.552632
381,11322936,78,1.3699,-22414.0,-0.56962
382,11226850,207,0.2355,-3675.0,-0.547619
384,10421766,76,3.97,-5702.0,-0.349426
385,10323667,2255,0.197,-327.0,-0.141826
387,8862215,66,0.212,-768322.0,-0.647059
388,8427474,197,0.066,-22698.0,-0.00470677
390,6361115,177,0.3526,-11635.0,-0.27037
391,6073081,107,2.35,-3569.0,-0.638587
392,5800320,385,5.81,-1637.0,-0.411404
393,5611126,48,0.105,-1387.0,-0.148449
394,4886485,611,0.2749,-12960.0,-0.0195876
395,3129062,76,0.1907,-37155.0,-0.0143035
396,3031564,86,0.2825,-3800.0,-0.0232013
397,2315164,51,0.1686,-9904.0,-0.195652
398,2251153,22,0.1506,-11811.0,-0.0287037
399,1776616,84,0.181,-29440.0,-0.0039789
400,1749686,213,0.155,-5663.0,-0.0100604
401,22355,104,0.0002,-48248.0,-0.000188679
